buffer,b1,se,z,p,aic,daic
100,-0.2630744693118219,0.06800437446586396,-3.868493334114512,1.0950992959311514e-4,55970.25276128168,75.34378990867845
200,-0.2990786489673512,0.053220363864482464,-5.6196280380365184,1.913690133788312e-8,55953.44362032942,58.534648956418096
300,-0.1786341846333045,0.044528398845217955,-4.011691173856088,6.028532981031327e-5,55969.190729190486,74.28175781748723
400,-0.10613279543008612,0.039980250832037094,-2.6546305543695956,0.007939531002865012,55978.283754242555,83.37478286955593
500,-0.04748345549643554,0.0365780411431166,-1.2981410160989761,0.19423888221662394,55983.6533512383,88.74437986530393
600,-0.004698951151371996,0.03427449514331409,-0.13709760367655244,0.8909536465739881,55985.32009495172,90.41112357872044
700,0.01955369683305414,0.0325116133588262,0.601437296182219,0.5475487638412102,55984.97715149465,90.06818012164877
800,0.10833394516158956,0.030915528609812223,3.5041919072089116,4.57995179970984e-4,55973.04712672422,78.1381553512183
900,0.14937965720910193,0.029635795482676402,5.040514512135224,4.6428191711771936e-7,55959.88529283604,64.97632146304386
1000,0.18576889187812773,0.02853374800440684,6.51049738889672,7.490237085061847e-11,55942.83652058709,47.927549214087776
1100,0.17993090203191092,0.027775550150491254,6.478031976217348,9.29266635603179e-11,55943.269858737614,48.36088736461534
1200,0.1691085858010084,0.027124532705039554,6.234525314774886,4.531500496757505e-10,55946.38696206797,51.477990694969776
1300,0.1721250221865726,0.02657059635009281,6.478026308429897,9.293015335366435e-11,55943.284307026835,48.37533565383637
1400,0.17319244862935568,0.02602122352659127,6.65581495245099,2.8173454419054896e-11,55940.94607418368,46.03710281068197
1500,0.1907631755425983,0.025471047323630706,7.489412316611662,6.918268455147058e-14,55929.1097981529,34.200826779902854
1600,0.20101548892032747,0.025029466437842922,8.031153577305394,9.656038794839061e-16,55920.668904704275,25.759933331275533
1700,0.20344797545846902,0.024631697692666023,8.259600210952765,1.4616117976306065e-16,55916.93857496968,22.029603596682136
1800,0.21223618126122357,0.024224581598276625,8.761190792922607,1.9319848100602204e-18,55908.36811797494,13.459146601941029
1900,0.22548453874414154,0.023850066521882235,9.454251984465593,3.253397385485676e-21,55895.68623370649,0.7772623334894888
2000,0.2237753578604638,0.023565876786920396,9.495736563668375,2.1866000158457556e-21,55894.908971373,0
